timestamp,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T19:36:38.196,0.339,-0.009,-0.93,0.006,-0.009,0.001,0.027,NORMAL
2026-05-02T19:36:38.696,0.324,-0.01,-0.942,-0.01,-0.011,-0.009,0.025,NORMAL
2026-05-02T19:36:39.197,0.332,-0.017,-0.93,-0.006,-0.017,0.003,0.025,NORMAL
2026-05-02T19:36:39.696,0.345,0.032,-0.962,0.009,0.03,-0.03,0.026,NORMAL
2026-05-02T19:36:40.197,0.385,0.01,-0.954,0.048,0.007,-0.022,0.028,NORMAL
2026-05-02T19:36:40.696,0.329,0.004,-0.927,-0.007,0.002,0.007,0.027,NORMAL
2026-05-02T19:36:41.196,0.322,-0.009,-0.952,-0.017,-0.01,-0.016,0.027,NORMAL
2026-05-02T19:36:41.696,0.345,0.001,-0.93,0.004,0.0,0.005,0.026,NORMAL
2026-05-02T19:36:42.196,0.37,0.024,-0.943,0.031,0.022,-0.011,0.029,NORMAL
2026-05-02T19:36:42.695,0.358,0.009,-0.909,0.019,0.008,0.023,0.029,NORMAL
2026-05-02T19:36:43.195,0.323,0.002,-0.944,-0.012,0.0,-0.011,0.028,NORMAL
2026-05-02T19:36:43.696,0.296,-0.018,-0.928,-0.039,-0.02,0.005,0.028,NORMAL
2026-05-02T19:36:44.196,0.338,-0.01,-0.942,0.002,-0.013,-0.009,0.028,NORMAL
2026-05-02T19:36:44.696,0.339,0.005,-0.952,0.003,0.003,-0.019,0.029,NORMAL
2026-05-02T19:36:45.196,0.372,0.01,-0.939,0.036,0.008,-0.007,0.029,NORMAL
2026-05-02T19:36:45.695,0.352,0.003,-0.931,0.016,0.001,0.003,0.029,NORMAL
2026-05-02T19:36:46.196,0.331,0.004,-0.927,-0.004,0.001,0.008,0.03,NORMAL
2026-05-02T19:36:46.696,0.35,0.002,-0.908,0.013,-0.001,0.026,0.03,NORMAL
2026-05-02T19:36:47.195,0.363,0.0,-0.925,0.028,0.0,0.007,0.031,NORMAL
2026-05-02T19:36:47.696,0.311,0.002,-0.939,-0.023,0.003,-0.006,0.032,NORMAL
2026-05-02T19:36:48.196,0.302,0.001,-0.947,-0.03,0.001,-0.012,0.031,NORMAL
2026-05-02T19:36:48.695,0.344,0.002,-0.941,0.008,0.001,-0.006,0.029,NORMAL
2026-05-02T19:36:49.195,0.37,0.007,-0.954,0.034,0.004,-0.02,0.03,NORMAL
2026-05-02T19:36:49.695,0.348,0.006,-0.912,0.012,0.004,0.018,0.029,NORMAL
2026-05-02T19:36:50.196,0.338,-0.007,-0.894,0.004,-0.008,0.036,0.028,NORMAL
2026-05-02T19:36:50.695,0.292,-0.01,-0.938,-0.042,-0.012,-0.006,0.028,NORMAL
2026-05-02T19:36:51.195,0.337,0.0,-0.946,0.002,-0.004,-0.014,0.028,NORMAL
2026-05-02T19:36:51.695,0.355,0.016,-0.927,0.021,0.012,0.006,0.029,NORMAL
2026-05-02T19:36:52.194,0.347,0.017,-0.932,0.012,0.013,0.004,0.028,NORMAL
2026-05-02T19:36:52.696,0.335,-0.001,-0.954,-0.002,-0.003,-0.017,0.028,NORMAL
2026-05-02T19:36:53.195,0.346,-0.004,-0.919,0.008,-0.007,0.02,0.028,NORMAL
2026-05-02T19:36:53.695,0.274,-0.01,-0.941,-0.06,-0.014,-0.002,0.029,NORMAL
2026-05-02T19:36:54.195,0.342,0.001,-0.953,0.005,-0.002,-0.015,0.028,NORMAL
2026-05-02T19:36:54.694,0.306,0.004,-0.901,-0.029,0.001,0.035,0.03,NORMAL
2026-05-02T19:36:55.195,0.355,0.021,-0.939,0.019,0.016,-0.002,0.029,NORMAL
2026-05-02T19:36:55.695,0.383,0.006,-0.952,0.044,0.001,-0.013,0.03,NORMAL
2026-05-02T19:36:56.195,0.346,0.005,-0.955,0.009,0.0,-0.015,0.03,NORMAL
2026-05-02T19:36:56.695,0.314,0.014,-0.911,-0.02,0.008,0.027,0.031,NORMAL
2026-05-02T19:36:57.194,0.351,0.0,-0.888,0.016,-0.004,0.047,0.031,NORMAL
2026-05-02T19:36:57.695,0.354,0.007,-0.935,0.02,0.005,-0.001,0.032,NORMAL
2026-05-02T19:36:58.195,0.324,-0.015,-0.945,-0.01,-0.017,-0.011,0.031,NORMAL
2026-05-02T19:36:58.694,0.329,-0.009,-0.89,-0.004,-0.011,0.04,0.033,NORMAL
2026-05-02T19:36:59.195,0.354,0.007,-0.927,0.02,0.005,0.002,0.032,NORMAL
2026-05-02T19:36:59.694,0.307,0.013,-0.925,-0.027,0.01,0.004,0.032,NORMAL
2026-05-02T19:37:00.194,0.299,-0.028,-0.956,-0.035,-0.029,-0.025,0.033,NORMAL
2026-05-02T19:37:00.694,0.332,-0.009,-0.918,-0.003,-0.009,0.013,0.032,NORMAL
2026-05-02T19:37:01.195,0.348,-0.005,-0.926,0.011,-0.007,0.007,0.032,NORMAL
2026-05-02T19:37:01.694,0.327,-0.003,-0.946,-0.009,-0.004,-0.013,0.032,NORMAL
2026-05-02T19:37:02.195,0.329,0.016,-0.947,-0.008,0.014,-0.014,0.033,NORMAL
2026-05-02T19:37:02.694,0.352,0.001,-0.927,0.014,-0.001,0.005,0.033,NORMAL
2026-05-02T19:37:03.194,0.355,0.005,-0.919,0.02,0.003,0.013,0.031,NORMAL
2026-05-02T19:37:03.694,0.355,0.012,-0.933,0.019,0.008,0.0,0.029,NORMAL
2026-05-02T19:37:04.194,0.381,0.014,-0.972,0.044,0.01,-0.038,0.031,NORMAL
2026-05-02T19:37:04.694,0.373,0.01,-0.943,0.035,0.007,-0.011,0.031,NORMAL
2026-05-02T19:37:05.194,0.374,0.014,-0.948,0.037,0.01,-0.018,0.032,NORMAL
2026-05-02T19:37:05.694,0.339,0.021,-0.959,0.002,0.017,-0.029,0.032,NORMAL
2026-05-02T19:37:06.194,0.339,-0.001,-0.94,0.006,-0.004,-0.01,0.032,NORMAL
2026-05-02T19:37:06.694,0.345,0.029,-0.931,0.01,0.026,-0.002,0.032,NORMAL
2026-05-02T19:37:07.193,0.359,0.019,-0.918,0.023,0.014,0.011,0.033,NORMAL
2026-05-02T19:37:07.694,0.34,0.017,-0.903,0.006,0.013,0.028,0.032,NORMAL
2026-05-02T19:37:08.193,0.373,0.014,-0.94,0.038,0.011,-0.009,0.032,NORMAL
2026-05-02T19:37:08.694,0.331,0.015,-0.963,-0.003,0.012,-0.03,0.031,NORMAL
2026-05-02T19:37:09.194,0.306,-0.011,-0.927,-0.026,-0.013,0.005,0.03,NORMAL
2026-05-02T19:37:09.694,0.333,-0.001,-0.94,0.0,-0.003,-0.005,0.031,NORMAL
2026-05-02T19:37:10.194,0.328,0.0,-0.917,-0.004,-0.004,0.016,0.031,NORMAL
2026-05-02T19:37:10.694,0.306,0.003,-0.956,-0.024,-0.001,-0.02,0.029,NORMAL
2026-05-02T19:37:11.193,0.286,-0.006,-0.946,-0.044,-0.011,-0.007,0.031,NORMAL
